title,notes,tags,header,organization,dataset_source,geodata,country,tag_list,doc,All_text
ghana education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,ghana,['education'],ghana education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link ghana ,ghana education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link ghana 
gambia education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,gambia,['education'],gambia education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link gambia ,gambia education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link gambia 
gabon education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,gabon,['education'],gabon education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link gabon ,gabon education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link gabon 
djibouti education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,djibouti,['education'],djibouti education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link djibouti ,djibouti education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link djibouti 
eritrea education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,eritrea,['education'],eritrea education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link eritrea ,eritrea education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link eritrea 
ethiopia education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,ethiopia,['education'],ethiopia education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link ethiopia ,ethiopia education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link ethiopia 
equatorial guinea education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,equatorial guinea,['education'],equatorial guinea education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link equatorial guinea ,equatorial guinea education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link equatorial guinea 
benin education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,benin,['education'],benin education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link benin ,benin education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link benin 
democratic republic congo education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,democratic republic congo,['education'],democratic republic congo education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link democratic republic congo ,democratic republic congo education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link democratic republic congo 
congo education indicators uneca,this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link,education,indicator,description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved,uneca,,congo,['education'],congo education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link congo ,congo education indicators uneca indicator description united nations economic commission africa created t title united nations economic commission africa name uneca is organization true state active image url revision id fb c e ce e c b aa c type organization aa ae a d cf d c c e approval status approved this dataset contains many indicators education such enrolment rate primary education ratio girls boys primary education whole list their description find this link congo 
kenya schools under digital literacy programme,targeted learners public primary schools kenya will cover primary schools nearly million class pupils,digital literacy education,,description president mwai kibaki launched kenya open data initiative july making government data freely available public through single online portal website user friendly platform that allows visualizations downloads data easy access software developers goal opendata make core kenya government development demographic statistical expenditure data available useful digital format researchers policymakers developers general public created t title kenya open data initiative name kenya open data initiative is organization true state active image url revision id e bd ad d b b aab e type organization a d f a d f a c bcbfa approval status approved,kenya ministry education,,kenya,"['digital literacy', 'education']",kenya schools under digital literacy programme  description president mwai kibaki launched kenya open data initiative july making government data freely available public through single online portal website user friendly platform that allows visualizations downloads data easy access software developers goal opendata make core kenya government development demographic statistical expenditure data available useful digital format researchers policymakers developers general public created t title kenya open data initiative name kenya open data initiative is organization true state active image url revision id e bd ad d b b aab e type organization a d f a d f a c bcbfa approval status approved targeted learners public primary schools kenya will cover primary schools nearly million class pupils kenya ,kenya schools under digital literacy programme  description president mwai kibaki launched kenya open data initiative july making government data freely available public through single online portal website user friendly platform that allows visualizations downloads data easy access software developers goal opendata make core kenya government development demographic statistical expenditure data available useful digital format researchers policymakers developers general public created t title kenya open data initiative name kenya open data initiative is organization true state active image url revision id e bd ad d b b aab e type organization a d f a d f a c bcbfa approval status approved targeted learners public primary schools kenya will cover primary schools nearly million class pupils kenya 
bazar data education sector,data bazar education sector bazar bangladesh,bangladesh education,district district pcode upazila upazila pcode union union pcode camp name ssid para name para donors programme partner implementing partners girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces remarks refugee girls refugee boys total children refugee girls refugee boys total refugee children total refugee,description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved,education sector partners bazar,,bangladesh,"['5w', 'bangladesh', 'education']",bazar data education sector district district pcode upazila upazila pcode union union pcode camp name ssid para name para donors programme partner implementing partners girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces remarks refugee girls refugee boys total children refugee girls refugee boys total refugee children total refugee description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved data bazar education sector bazar bangladesh bangladesh ,bazar data education sector district district pcode upazila upazila pcode union union pcode camp name ssid para name para donors programme partner implementing partners girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces girls from refugee community group enrolled learning spaces number girls from refugee community group girls with disability enrolled learning spaces boys from refugee community group enrolled learning spaces number boys from refugee community group boys with disability enrolled learning spaces girls from host community group enrolled learning spaces number girls from host community group girls with disability enrolled learning spaces boys from host community group enrolled learning spaces number boys from host community group boys with disability enrolled learning spaces remarks refugee girls refugee boys total children refugee girls refugee boys total refugee children total refugee description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved data bazar education sector bazar bangladesh bangladesh 
bazar education sector partner mapping,activity mapping bazar education cluster partners,education,ssid location name name phone email,description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved,bazar education cluster,,bangladesh,['education'],bazar education sector partner mapping ssid location name name phone email description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved activity mapping bazar education cluster partners bangladesh ,bazar education sector partner mapping ssid location name name phone email description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved activity mapping bazar education cluster partners bangladesh 
bazar school enrolment data,enrolment data broken pcode,education,ssid enrollment,description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved,bazar education sector,,bangladesh,['education'],bazar school enrolment data ssid enrollment description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved enrolment data broken pcode bangladesh ,bazar school enrolment data ssid enrollment description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved enrolment data broken pcode bangladesh 
bazar education facilities damage reports,this data about damage assessment education facilities bazar during assessment phase,education education facilities,unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed,description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved,bazar education sector,,bangladesh,"['education', 'education facilities']",bazar education facilities damage reports unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved this data about damage assessment education facilities bazar during assessment phase bangladesh ,bazar education facilities damage reports unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed unnamed description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved this data about damage assessment education facilities bazar during assessment phase bangladesh 
learning centres affected road closures,pcodes information road closures affected learning centres,education education facilities roads,camp organization facility,description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved,bazar education sector,,bangladesh,"['education', 'education facilities', 'roads']",learning centres affected road closures camp organization facility description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved pcodes information road closures affected learning centres bangladesh ,learning centres affected road closures camp organization facility description education focused coordination group responding emerging educational needs bazar norganisation data description baseline programmatic data created t title bazar education sector name cbes is organization true state active image url revision id f dc b d e a b f a ae type organization e f ac c e bad a aff approval status approved pcodes information road closures affected learning centres bangladesh 
infrastructure roads damage assessment deir deir governorate syria,this illustrates satellite detected damage infrastructure roads portion city deir syrian arab republic derived from full unosat analysis damage deir using satellite imagery acquired november unitar unosat identified destroyed bridges damaged road segments visible impact craters affecting roads approximately structures corresponding educational facilities structures likely related health facilities also affected unosat analysis shows that there destroyed electricity towers south city note that sources infrastructure data include various open source datasets which likely incomplete well visual review satellite imagery unosat certain features like towers this preliminary analysis been validated field please send ground feedback unitar unosat,ce syr complex emergency education education facilities geodata health health facilities syrian arab republic,,description unosat technology intensive programme delivering imagery analysis satellite solutions relief development organisations within outside system help make difference critical areas such humanitarian relief human security strategic territorial development planning unosat develops applied research solutions keeping sight needs beneficiaries process created t title operational satellite applications programme unosat name operational satellite appplications programme unosat is organization true state active image url revision id c f e f cc ba eb a a type organization ba aacba bc a f cf approval status approved,unosat,geodata,syrian arab republic,"['ce20130604syr', 'complex emergency', 'education', 'education facilities', 'geodata', 'health', 'health facilities', 'syrian arab republic']",infrastructure roads damage assessment deir deir governorate syria  description unosat technology intensive programme delivering imagery analysis satellite solutions relief development organisations within outside system help make difference critical areas such humanitarian relief human security strategic territorial development planning unosat develops applied research solutions keeping sight needs beneficiaries process created t title operational satellite applications programme unosat name operational satellite appplications programme unosat is organization true state active image url revision id c f e f cc ba eb a a type organization ba aacba bc a f cf approval status approved this illustrates satellite detected damage infrastructure roads portion city deir syrian arab republic derived from full unosat analysis damage deir using satellite imagery acquired november unitar unosat identified destroyed bridges damaged road segments visible impact craters affecting roads approximately structures corresponding educational facilities structures likely related health facilities also affected unosat analysis shows that there destroyed electricity towers south city note that sources infrastructure data include various open source datasets which likely incomplete well visual review satellite imagery unosat certain features like towers this preliminary analysis been validated field please send ground feedback unitar unosat syrian arab republic geodata,infrastructure roads damage assessment deir deir governorate syria  description unosat technology intensive programme delivering imagery analysis satellite solutions relief development organisations within outside system help make difference critical areas such humanitarian relief human security strategic territorial development planning unosat develops applied research solutions keeping sight needs beneficiaries process created t title operational satellite applications programme unosat name operational satellite appplications programme unosat is organization true state active image url revision id c f e f cc ba eb a a type organization ba aacba bc a f cf approval status approved this illustrates satellite detected damage infrastructure roads portion city deir syrian arab republic derived from full unosat analysis damage deir using satellite imagery acquired november unitar unosat identified destroyed bridges damaged road segments visible impact craters affecting roads approximately structures corresponding educational facilities structures likely related health facilities also affected unosat analysis shows that there destroyed electricity towers south city note that sources infrastructure data include various open source datasets which likely incomplete well visual review satellite imagery unosat certain features like towers this preliminary analysis been validated field please send ground feedback unitar unosat syrian arab republic geodata
nigeria displacement data site assessment,response need accurate information internally displaced persons idps nigeria international organization migration began implementing displacement tracking matrix project july project supporting government nigeria other humanitarian response partners conduct idps assessments systematic well establish profile population,adamawa assessment borno displaced displacement education health idps internal displaced internal displacement internally displaced internally displaced people internally displaced persons internation organization migration lake chad basin crisis mobility tracking nigeria nigeria crisis population mobility population movement site assessment site assessment data taraba yobe,round state state pcode pcode ward ward pcode siteid site name longitude latitude gooogle link site status site classification site type site area site management agency type registration activity wash support cccm support health support support shelter support food support protection support education support livelihood support land ownership most common type shelter number households number individuals boys girls boys girls boys girls women elderly elderly women have idps been displaced previously reason displacement majority natural hazard risks intended area return reasons return home reasons return home living outside shelter living living makeshift self made shelter living indoors solid walls have access electricity have access safe cooking facilities have private living area have mosquito nets most needed location site main water source main drinking water source amount water available person drinking water potable complaints about drinking water quality condition most toilets functioning toilets main garbage disposal garbage solid waste problem availability hand washing station hygiene promotion campaign evidence open defecation access food access market near from site frequency food distribution most common source obtaining food screening malnutrition most health problem regular access medicine access health facility location health facilities main provider health facilities access education services location education facilities children attending school occupation majority idps with source income access income generating activities livestock site idps have access land cultivation most trusted source info main topic community requesting info serious problem lack information,description committed principle that humane orderly migration benefits migrants society leading international organization migration acts with partners international community assist meeting growing operational challenges migration management advance understanding migration issues nencourage social economic development through migration uphold human dignity well being migrants created t title international organization migration name international organization migration is organization true state active image url revision id a aa c aaf e ec d type organization f d cd c ef bc d f d adf approval status approved,international organization migration,,nigeria,"['adamawa', 'assessment', 'borno', 'displaced', 'displacement', 'dtm', 'education', 'health', 'hxl', 'idp', 'idps', 'internal displaced', 'internal displacement', 'internally displaced', 'internally displaced people', 'internally displaced persons', 'internation organization for migration', 'iom', 'iom dtm', 'lake chad basin crisis', 'mobility tracking', 'nigeria', 'nigeria crisis', 'population mobility', 'population movement', 'site assessment - dtm', 'site assessment data', 'taraba', 'yobe']",nigeria displacement data site assessment round state state pcode pcode ward ward pcode siteid site name longitude latitude gooogle link site status site classification site type site area site management agency type registration activity wash support cccm support health support support shelter support food support protection support education support livelihood support land ownership most common type shelter number households number individuals boys girls boys girls boys girls women elderly elderly women have idps been displaced previously reason displacement majority natural hazard risks intended area return reasons return home reasons return home living outside shelter living living makeshift self made shelter living indoors solid walls have access electricity have access safe cooking facilities have private living area have mosquito nets most needed location site main water source main drinking water source amount water available person drinking water potable complaints about drinking water quality condition most toilets functioning toilets main garbage disposal garbage solid waste problem availability hand washing station hygiene promotion campaign evidence open defecation access food access market near from site frequency food distribution most common source obtaining food screening malnutrition most health problem regular access medicine access health facility location health facilities main provider health facilities access education services location education facilities children attending school occupation majority idps with source income access income generating activities livestock site idps have access land cultivation most trusted source info main topic community requesting info serious problem lack information description committed principle that humane orderly migration benefits migrants society leading international organization migration acts with partners international community assist meeting growing operational challenges migration management advance understanding migration issues nencourage social economic development through migration uphold human dignity well being migrants created t title international organization migration name international organization migration is organization true state active image url revision id a aa c aaf e ec d type organization f d cd c ef bc d f d adf approval status approved response need accurate information internally displaced persons idps nigeria international organization migration began implementing displacement tracking matrix project july project supporting government nigeria other humanitarian response partners conduct idps assessments systematic well establish profile population nigeria ,nigeria displacement data site assessment round state state pcode pcode ward ward pcode siteid site name longitude latitude gooogle link site status site classification site type site area site management agency type registration activity wash support cccm support health support support shelter support food support protection support education support livelihood support land ownership most common type shelter number households number individuals boys girls boys girls boys girls women elderly elderly women have idps been displaced previously reason displacement majority natural hazard risks intended area return reasons return home reasons return home living outside shelter living living makeshift self made shelter living indoors solid walls have access electricity have access safe cooking facilities have private living area have mosquito nets most needed location site main water source main drinking water source amount water available person drinking water potable complaints about drinking water quality condition most toilets functioning toilets main garbage disposal garbage solid waste problem availability hand washing station hygiene promotion campaign evidence open defecation access food access market near from site frequency food distribution most common source obtaining food screening malnutrition most health problem regular access medicine access health facility location health facilities main provider health facilities access education services location education facilities children attending school occupation majority idps with source income access income generating activities livestock site idps have access land cultivation most trusted source info main topic community requesting info serious problem lack information description committed principle that humane orderly migration benefits migrants society leading international organization migration acts with partners international community assist meeting growing operational challenges migration management advance understanding migration issues nencourage social economic development through migration uphold human dignity well being migrants created t title international organization migration name international organization migration is organization true state active image url revision id a aa c aaf e ec d type organization f d cd c ef bc d f d adf approval status approved response need accurate information internally displaced persons idps nigeria international organization migration began implementing displacement tracking matrix project july project supporting government nigeria other humanitarian response partners conduct idps assessments systematic well establish profile population nigeria 
